key,value,unit,notes
git_sha,c498f873df1e2e93cef0aee6aa8b78c05569b5bd,,
quick_mode,False,,
selected_stage,all,,
vane_param_source,params\loiter_example.json,,
moving_mass_param_source,params\moving_mass_prototype_2kg.json,,
tail_window_s,2.0,s,
runtime_s,1026.282,s,
report_generation_runtime_s,0.804926,s,
resume_skipped_scenario_count,5498,runs,
candidate_count,757,candidates,
scenario_run_count,5498,runs,
stage_scenarios,"{""attitude_p"": [""attitude_+5deg"", ""attitude_-5deg"", ""attitude_+10deg"", ""attitude_-10deg"", ""attitude_+15deg"", ""attitude_-15deg""], ""loiter_xy"": [""upright_hold"", ""initial_x_offset_right"", ""initial_x_offset_left"", ""horizontal_impulse_right"", ""horizontal_impulse_left"", ""stick_move_release_right"", ""stick_move_release_left"", ""authority_stress_right"", ""authority_stress_left""], ""moving_mass_gain"": [""pitch_assist_probe"", ""stick_move_release"", ""horizontal_impulse_recovery"", ""initial_x_offset_recovery"", ""authority_stress""], ""rate_i"": [""rate_i_pos_moderate"", ""rate_i_neg_moderate"", ""rate_i_positive_bias"", ""rate_i_negative_bias""], ""rate_pd"": [""rate_pos_moderate"", ""rate_neg_moderate"", ""rate_pos_strong"", ""rate_neg_strong"", ""rate_low_authority_pos"", ""rate_low_authority_neg""]}",,
score_specs,"{""attitude_p"": [{""metric"": ""rms_theta_deg"", ""reference_scale"": 8.0, ""weight"": 0.16}, {""metric"": ""tail_rms_theta_deg"", ""reference_scale"": 1.0, ""weight"": 0.24}, {""metric"": ""theta_overshoot_deg"", ""reference_scale"": 3.0, ""weight"": 0.09}, {""metric"": ""settling_time_s"", ""reference_scale"": 2.5, ""weight"": 0.12}, {""metric"": ""tail_peak_to_peak_theta_deg"", ""reference_scale"": 2.0, ""weight"": 0.12}, {""metric"": ""max_omega_deg_s"", ""reference_scale"": 100.0, ""weight"": 0.07}, {""metric"": ""vane_command_rms_deg"", ""reference_scale"": 6.0, ""weight"": 0.07}, {""metric"": ""vane_angle_saturation_percent"", ""reference_scale"": 10.0, ""weight"": 0.05}, {""metric"": ""left_right_symmetry_error"", ""reference_scale"": 0.1, ""weight"": 0.08}], ""loiter_xy"": [{""metric"": ""tail_rms_x_m"", ""reference_scale"": 0.1, ""weight"": 0.17}, {""metric"": ""tail_rms_theta_deg"", ""reference_scale"": 1.0, ""weight"": 0.1}, {""metric"": ""tail_rms_vx_m_s"", ""reference_scale"": 0.1, ""weight"": 0.14}, {""metric"": ""tail_peak_to_peak_x_m"", ""reference_scale"": 0.2, ""weight"": 0.14}, {""metric"": ""tail_path_length_m"", ""reference_scale"": 0.25, ""weight"": 0.18}, {""metric"": ""settling_time_s"", ""reference_scale"": 6.0, ""weight"": 0.07}, {""metric"": ""final_abs_x_error_m"", ""reference_scale"": 0.15, ""weight"": 0.06}, {""metric"": ""rms_x_error_m"", ""reference_scale"": 0.7, ""weight"": 0.05}, {""metric"": ""vane_command_rms_deg"", ""reference_scale"": 6.0, ""weight"": 0.04}, {""metric"": ""servo_rate_saturation_percent"", ""reference_scale"": 10.0, ""weight"": 0.03}, {""metric"": ""left_right_symmetry_error"", ""reference_scale"": 0.1, ""weight"": 0.02}], ""moving_mass_gain"": [{""metric"": ""rms_theta_ratio"", ""reference_scale"": 1.0, ""weight"": 0.3}, {""metric"": ""rms_x_ratio"", ""reference_scale"": 1.0, ""weight"": 0.17}, {""metric"": ""final_x_ratio"", ""reference_scale"": 1.0, ""weight"": 0.1}, {""metric"": ""tail_path_ratio"", ""reference_scale"": 1.0, ""weight"": 0.13}, {""metric"": ""vane_command_rms_ratio"", ""reference_scale"": 1.0, ""weight"": 0.1}, {""metric"": ""moving_mass_tracking_rms_m"", ""reference_scale"": 0.005, ""weight"": 0.08}, {""metric"": ""moving_mass_saturation_percent"", ""reference_scale"": 10.0, ""weight"": 0.07}, {""metric"": ""moving_mass_max_offset_m"", ""reference_scale"": 0.05, ""weight"": 0.05}], ""rate_i"": [{""metric"": ""tail_mean_abs_rate_error_deg_s"", ""reference_scale"": 1.0, ""weight"": 0.28}, {""metric"": ""tail_rms_rate_error_deg_s"", ""reference_scale"": 2.0, ""weight"": 0.12}, {""metric"": ""rate_overshoot_deg_s"", ""reference_scale"": 8.0, ""weight"": 0.09}, {""metric"": ""settling_time_s"", ""reference_scale"": 2.5, ""weight"": 0.1}, {""metric"": ""integrator_rms_Nm"", ""reference_scale"": 0.05, ""weight"": 0.09}, {""metric"": ""integrator_inhibition_percent"", ""reference_scale"": 10.0, ""weight"": 0.08}, {""metric"": ""anti_windup_rms_Nm"", ""reference_scale"": 0.03, ""weight"": 0.07}, {""metric"": ""vane_angle_saturation_percent"", ""reference_scale"": 10.0, ""weight"": 0.07}, {""metric"": ""control_effort_rms_Nm"", ""reference_scale"": 0.12, ""weight"": 0.1}], ""rate_pd"": [{""metric"": ""rms_rate_error_deg_s"", ""reference_scale"": 35.0, ""weight"": 0.19}, {""metric"": ""tail_rms_rate_error_deg_s"", ""reference_scale"": 4.0, ""weight"": 0.25}, {""metric"": ""rate_overshoot_deg_s"", ""reference_scale"": 10.0, ""weight"": 0.08}, {""metric"": ""settling_time_s"", ""reference_scale"": 2.0, ""weight"": 0.12}, {""metric"": ""rate_zero_crossings"", ""reference_scale"": 5.0, ""weight"": 0.05}, {""metric"": ""vane_command_rms_deg"", ""reference_scale"": 6.0, ""weight"": 0.08}, {""metric"": ""vane_angle_saturation_percent"", ""reference_scale"": 10.0, ""weight"": 0.05}, {""metric"": ""servo_rate_saturation_percent"", ""reference_scale"": 10.0, ""weight"": 0.08}, {""metric"": ""control_effort_rms_Nm"", ""reference_scale"": 0.12, ""weight"": 0.1}]}",,Dimensionless score components use metric/reference_scale before weighting.
grid_ranges,"{""attitude_p"": ""Angle P 2.0..10.0 step 0.5"", ""loiter_xy"": ""position P 0.1..1.5 step 0.1; velocity P 0.2..2.5 step 0.1"", ""moving_mass_gain"": ""0.000..0.080 step 0.0025"", ""rate_i"": ""I 0.000..0.030 step 0.002"", ""rate_pd"": ""P 0.005..0.080 step 0.005; D 0.0000..0.0080 step 0.0005; local half-step fine search""}",,
inactive_parameters,"psc_ne_vel_i, psc_ne_vel_d",,Existing fields are inactive in LOITER and were not swept or optimized.
moving_mass_gain,moving_mass_assist_gain_m_per_Nm * desired_pitch_moment,,Analysis proportional gain; it is not a PID term.
tail_window_policy,LOITER and moving-mass metrics use the final 2 seconds by default; shorter scenarios use all available rows.,,
stage_commands,"{""attitude_p"": "".venv\\Scripts\\python.exe sweep_controller_gains.py --stage attitude_p --output-dir results/analysis/controller_grid_search"", ""loiter_xy"": "".venv\\Scripts\\python.exe sweep_controller_gains.py --stage loiter_xy --output-dir results/analysis/controller_grid_search"", ""moving_mass_gain"": "".venv\\Scripts\\python.exe sweep_controller_gains.py --stage moving_mass_gain --output-dir results/analysis/controller_grid_search"", ""rate_i"": "".venv\\Scripts\\python.exe sweep_controller_gains.py --stage rate_i --output-dir results/analysis/controller_grid_search"", ""rate_pd"": "".venv\\Scripts\\python.exe sweep_controller_gains.py --stage rate_pd --output-dir results/analysis/controller_grid_search""}",,
metric_units,"{""angle"": ""deg"", ""angular_rate"": ""deg/s"", ""moment_and_control_effort"": ""Nm"", ""moving_mass_assist_gain_m_per_Nm"": ""m/Nm"", ""normalized_score"": ""dimensionless"", ""position_and_path"": ""m"", ""saturation_and_inhibition"": ""percent"", ""velocity"": ""m/s""}",,
candidate_counts,"{""attitude_p"": 17, ""loiter_xy"": 360, ""moving_mass_gain"": 33, ""rate_i"": 48, ""rate_pd"": 299}",,
candidate_scenario_row_counts,"{""attitude_p"": 102, ""loiter_xy"": 3240, ""moving_mass_gain"": 165, ""rate_i"": 192, ""rate_pd"": 1794}",,
vane_profile,params\loiter_tuned_vane_only.json,,
moving_mass_profile,params\moving_mass_prototype_2kg_tuned.json,,
