pattern,direction,variant,gain,passed,failures,moving_mass_assist_gain_m_per_Nm,moving_mass_rms_displacement_m,moving_mass_total_travel_m,moving_mass_rate_rms_m_s,moving_mass_acceleration_rms_m_s2,moving_mass_max_abs_offset_m,moving_mass_max_abs_target_m,moving_mass_max_abs_velocity_m_s,moving_mass_max_abs_acceleration_m_s2,moving_mass_saturation_percent,meaningful_moving_mass_direction_change_count,moving_mass_total_travel_per_second_m_s,tail_high_frequency_moving_mass_energy_m2,moving_mass_command_clipping_duty_percent,moving_mass_command_clipping_longest_continuous_duration_s,moving_mass_rail_contact_duty_percent,moving_mass_rail_contact_longest_continuous_duration_s,moving_mass_rate_limiter_duty_percent,moving_mass_rate_limiter_longest_continuous_duration_s,moving_mass_acceleration_limiter_duty_percent,moving_mass_acceleration_limiter_longest_continuous_duration_s
light_short_pulse,positive,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light_short_pulse,positive,moving_mass_assist,0.0415,True,,0.0415,0.0005591362515510286,0.013035775620514604,0.003634351576976639,0.2848341398573657,0.001787934506543822,0.002994715808599002,0.0458422283838302,1.0000000000000215,1.5,0,0.0013035775620514392,1.870944197343684e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.05999999999999872
light_short_pulse,negative,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light_short_pulse,negative,moving_mass_assist,0.0415,True,,0.0415,0.0005591362515510286,0.013035775620514604,0.003634351576976639,0.2848341398573657,0.001787934506543822,0.002994715808599002,0.0458422283838302,1.0000000000000215,1.5,0,0.0013035775620514392,1.870944197343684e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.05999999999999872
medium_pulse,positive,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_pulse,positive,moving_mass_assist,0.0415,True,,0.0415,0.0006014332545836488,0.015971024293357654,0.00441591712802473,0.3340651953474435,0.0027635105053788593,0.0029494214743172836,0.04028489383292342,1.0000000000000215,2.25,0,0.0015971024293357393,2.366158977933388e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0749999999999984
medium_pulse,negative,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_pulse,negative,moving_mass_assist,0.0415,True,,0.0415,0.0006014332545836488,0.015971024293357654,0.00441591712802473,0.3340651953474435,0.0027635105053788593,0.0029494214743172836,0.04028489383292342,1.0000000000000215,2.25,0,0.0015971024293357393,2.366158977933388e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0749999999999984
full_long_hold,positive,vane_only,0.0,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_long_hold,positive,moving_mass_assist,0.0415,True,,0.0415,0.0008125018252353061,0.02705629481575355,0.006388403862506218,0.44454364464021573,0.0028286428723016508,0.003025786886771346,0.04172367728328356,1.0000000000000215,3.5999999999999996,0,0.0027056294815753106,2.758724383180097e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.5999999999999996,0.0749999999999984
