time,x,z,theta_deg,vx,vz,omega,cg_x,cg_z,target_x,target_z,ax_cmd,throttle,thrust,theta_control_term,omega_control_term,position_control_term,velocity_control_term,theta_ddot,ax_saturated
0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.04341204441673258,1.246201938253052,0.0,1.0,4.886921905584122,0.39999999999999997,14.715,4.886921905584122,0.0,0.0,0.0,-12.436759832287404,0
0.01,0.0004886921905584122,1.0,9.92874261507921,0.048869219055841226,0.0,-0.12436759832287404,0.04359450767524457,1.2462557383522264,0.0,1.0,4.377846027987988,0.39999999999999997,14.715,4.852098978053718,-0.6218379916143703,0.0009773843811168245,0.14660765716752366,-10.439697838343353,0
0.02,0.0014151689839156233,1.0,9.797670167605528,0.0926476793357211,0.0,-0.22876457670630757,0.04395752626922507,1.2463537047348976,0.0,1.0,3.9249953890194083,0.39999999999999997,14.715,4.7880448965759514,-1.1438228835315378,0.0028303379678312466,0.2779430380071633,-8.713478481087765,0
0.03,0.002734145316174775,1.0,9.616673165947406,0.1318976332259152,0.0,-0.31589936151718523,0.04449806184547486,1.246486866335985,0.0,1.0,3.521257458075308,0.39999999999999997,14.715,4.699593075351139,-1.5794968075859261,0.00546829063234955,0.39569289967774557,-7.221270347481215,0
0.04,0.004405247394241458,1.0,9.39430133292592,0.16711020780666827,0.0,-0.38811206499199735,0.045212206511764094,1.2466471003023973,0.0,1.0,3.1605024904018815,0.39999999999999997,14.715,4.59092169715338,-1.9405603249599868,0.008810494788482916,0.5013306234200048,-5.9315608702645175,0
0.05,0.006392399721348329,1.0,9.137944159525325,0.19871523271068708,0.0,-0.44742767369464254,0.04609538667814586,1.2468272124922783,0.0,1.0,2.8374340776204257,0.39999999999999997,14.715,4.46564194851888,-2.2371383684732127,0.012784799442696658,0.5961456981320612,-4.817314585622315,0
0.06,0.008663295456217242,1.0,8.853985806690432,0.22708957348689135,0.0,-0.49560081955086566,0.04714252214099003,1.2470209487346,0.0,1.0,2.5474649326634182,0.39999999999999997,14.715,4.326873719044638,-2.4780040977543285,0.017326590912434485,0.681268720460674,-3.855275565269523,0
0.07,0.011188937684352498,1.0,8.547938351980553,0.25256422281352553,0.0,-0.5341535752035609,0.04834815047105186,1.2472229619292527,0.0,1.0,2.286613385779118,0.39999999999999997,14.715,4.177310717987641,-2.6707678760178046,0.022377875368704996,0.7576926684405766,-3.0253895539886755,0
0.08,0.013943241251065665,1.0,8.224556691988024,0.2754303566713167,0.0,-0.5644074707434477,0.04970652471693076,1.2474287524839023,0.0,1.0,2.051416824978319,0.39999999999999997,14.715,4.019276626179476,-2.8220373537172385,0.02788648250213133,0.8262910700139501,-2.3103245056995796,0
0.09,0.016902686500276664,1.0,7.88793784764727,0.2959445249210999,0.0,-0.5875107158004435,0.05121169067722854,1.247634594175341,0.0,1.0,1.8388589945169875,0.39999999999999997,14.715,3.8547736257553518,-2.937553579002217,0.03380537300055333,0.8878335747632997,-1.695071567501719,0
